,Other participants,Selected experts
"How familiar are you with the FAIR principles (Findable, Accessible, Interoperable, Reusable, see the introductory paper)? 1 (Not familiar) – 5 (Very familiar)",3.77,3.96
How important is it to follow FAIR principles? 1 (Not important) – 5 (Extremely important),3.82,4.40
To what extent do you apply the FAIR principles in your research or software development work? 1 (Never apply) – 5 (Always apply),3.42,3.81
